A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	A13	A14	A15	A16	A17	A18	A19	A20	A21	A22	A23	A24	A25	A26	A27	A28	A29	A30	A31	A32	A33	A34	A35	A36	A37	A38	A39	Clase	C1	C2	C3	C4
1	0.5256718502	1	0.5401908798	1	0.6373000202	0	0.5505214477	2	0.8416666667	0.8388888889	0.8222222222	0.803030303	1	0.0027777778	-0.0194444444	2.2190885493	0.9871602983	-0.0520737646	-0.0868538443	0.2975463814	0.6743133865	0.2994311976	-0.0101777678	-0.0053686244	-0.0159928215	-0.0138681981	-0.0206888273	-0.0174464335	-0.0131972363	-0.0240425664	-0.0067107486	0.0048932882	0.0300778893	0.0440393922	0.0439277619	0.0426997473	0.0221421735	0.0223657621	1	1	0	0	0
1	0.5263644141	1	0.5395008458	1	0.6247558373	0	0.5367392212	1	0.8222222222	0.8416666667	0.8083333333	0.803030303	1	-0.0194444444	-0.0138888889	2.1387425328	0.9776766899	-0.0346308936	-0.0949788937	0.2293558997	0.6511449014	0.2891129869	-0.0138681887	-0.0008947744	-0.0090593954	-0.0092830753	-0.0016777104	-0.0055923163	-0.0164400972	-0.0691231631	-0.0522968507	-0.0182291111	0.0139800247	0.0323406026	0.0361110252	0.0190956363	0.0200459595	0.0171109723	1	1	0	0	0
1	0.5256718502	1	0.5401908798	1	0.6407252649	0	0.5539557547	2	0.8083333333	0.8222222222	0.7805555556	0.803030303	1	-0.0138888889	-0.0277777778	2.1489767166	0.9927331149	-0.0434812099	-0.0751870825	0.3525157731	0.7030210409	0.269339316	-0.04984262	-0.0191235828	-0.0210242214	-0.0206888273	-0.0219185861	-0.0247132508	-0.0242661285	-0.0553079827	-0.000391466	0.0064031766	0.0195708037	0.0165519094	0.019570804	0.0156573636	0.0030198688	0.0004473926	1	1	0	0	0
1	0.5263644141	1	0.5395008458	1	0.6293692033	0	0.5443277579	2	0.7805555556	0.8083333333	0.7583333333	0.803030303	1	-0.0277777778	-0.0222222222	2.1116409862	0.9915658944	-0.033429917	-0.0937041023	0.2374988223	0.7037839048	0.3345627989	-0.0182291163	-0.0156573616	-0.0322009265	-0.0374513739	-0.0400200039	-0.0392383008	-0.0365578192	-0.0413599468	-0.038903269	-0.0091153126	0.0120230176	0.0237072023	0.0272839926	0.0237072036	0.0136445321	0.013420877	1	1	0	0	0
1	0.5256718502	1	0.5401908798	1	0.6334056978	0	0.5532692946	2	0.7583333333	0.7805555556	0.7722222222	0.803030303	1	-0.0222222222	0.0138888889	2.2317690032	0.9759231506	-0.0398804092	-0.095976349	0.2682497701	0.6552808319	0.2079771539	-0.0204652294	-0.0220303848	-0.0291838963	-0.0320891954	-0.0288486341	-0.0261663269	-0.0263898658	-0.0380098117	-0.0142316283	0.0180613987	0.0402433326	0.0414715996	0.0433695834	0.027954575	0.0008947784	-0.0039146406	1	1	0	0	0
1	0.5249791875	1	0.5401908798	1	0.6204253046	0	0.5353575526	1	0.7722222222	0.7583333333	0.7777777778	0.803030303	1	0.0138888889	0.0055555556	2.3987633859	0.9720881965	-0.0593212538	-0.0895450426	0.3012882636	0.6391148203	0.1825894355	-0.024042557	-0.012749913	-0.0181173006	-0.0112961074	-0.0098422515	-0.0040264835	-0.0163282732	-0.0545274048	-0.0403549853	-0.0083603948	0.0111004051	0.0246573601	0.0260545538	0.0171109857	0.021136014	0.0253839128	1	1	0	0	0
1	0.5235935763	1	0.5422600473	1	0.6231911573	0	0.5401908798	2	0.7777777778	0.7722222222	0.8	0.803030303	1	0.0055555556	0.0222222222	2.3866986154	0.9982688034	-0.1083446898	0.0565623375	0.4968511581	0.7285590554	0.3112211276	-0.0267251798	-0.0165519161	-0.0161046441	-0.0154337243	-0.0138682041	-0.0166637359	-0.0181173119	-0.0629984225	-0.0442626508	-0.0078291648	0.0086959207	0.0112961064	0.0272839956	0.0209124155	0.0120789304	0.013085396	1	1	0	0	0
1	0.5256718502	1	0.5401908798	1	0.639645269	0	0.5580701059	2	0.8	0.7777777778	0.8194444444	0.803030303	1	0.0222222222	0.0194444444	2.4533891312	0.995175034	-0.0517391188	-0.0919022372	0.3145507452	0.7234548863	0.3242678608	-0.01420367	-0.0090593921	-0.0286251195	-0.0358876124	-0.0345471046	-0.0338768081	-0.0374513679	-0.0470530033	-0.0352173727	0.0085840801	0.0351056603	0.034993951	0.0320891908	0.0276192887	0.0114079403	-0.0052567842	1	1	0	0	0
1	0.5263644141	1	0.5401908798	1	0.6358289111	0	0.5539557547	2	0.8194444444	0.8	0.8138888889	0.803030303	1	0.0194444444	-0.0055555556	2.3592413542	0.9927820739	-0.1022889812	-0.1275898211	0.2513016428	0.7000389446	0.357013204	-0.0093949132	-0.0116316127	-0.0169991775	-0.0135327211	-0.0112961148	-0.0117434467	-0.0133090647	-0.018229119	-0.0056202775	0.01188323	0.0375630562	0.0378981188	0.0374513659	0.02437791	0.0106251071	0.0034672568	1	1	0	0	0
1	0.5263644141	1	0.5395008458	1	0.6431394771	0	0.5539557547	2	0.7722222222	0.7694444444	0.7944444444	0.8047979798	1	0.0027777778	0.0222222222	2.3759950472	0.9764758614	-0.0409555554	-0.1077843029	0.2367681117	0.6588914273	0.2250767749	-0.0335558161	-0.0074991791	-0.0172586333	-0.0253494329	-0.0223752076	-0.0191625926	-0.0235649425	-0.0651398904	-0.0022319353	0.0134801191	0.0289179204	0.0218993063	0.0180916467	0.0194005934	-0.007975313	-0.0083323971	1	1	0	0	0
