A1;A2;A3;A4;A5;A6;A7;A8;A9;A10;A11;A12;A13;A14;A15;A16;A17;A18;A19;A20;A21;A22;A23;A24;A25;A26;A27;A28;A29;A30;A31;A32;A33;A34;A35;A36;A37;A38;A39;Clase;C1;C2;C3;C4
1;0,52567185;1;0,54019088;1;0,63730002;0;0,550521448;2;0,841666667;0,838888889;0,822222222;0,803030303;1;0,002777778;-0,019444444;2,219088549;0,987160298;-0,052073765;-0,086853844;0,297546381;0,674313386;0,299431198;-0,010177768;-0,005368624;-0,015992822;-0,013868198;-0,020688827;-0,017446433;-0,013197236;-0,024042566;-0,006710749;0,004893288;0,030077889;0,044039392;0,043927762;0,042699747;0,022142174;0,022365762;1;1;0;0;0
1;0,526364414;1;0,539500846;1;0,624755837;0;0,536739221;1;0,822222222;0,841666667;0,808333333;0,803030303;1;-0,019444444;-0,013888889;2,138742533;0,97767669;-0,034630894;-0,094978894;0,2293559;0,651144901;0,289112987;-0,013868189;-0,000894774;-0,009059395;-0,009283075;-0,00167771;-0,005592316;-0,016440097;-0,069123163;-0,052296851;-0,018229111;0,013980025;0,032340603;0,036111025;0,019095636;0,020045959;0,017110972;1;1;0;0;0
1;0,52567185;1;0,54019088;1;0,640725265;0;0,553955755;2;0,808333333;0,822222222;0,780555556;0,803030303;1;-0,013888889;-0,027777778;2,148976717;0,992733115;-0,04348121;-0,075187083;0,352515773;0,703021041;0,269339316;-0,04984262;-0,019123583;-0,021024221;-0,020688827;-0,021918586;-0,024713251;-0,024266129;-0,055307983;-0,000391466;0,006403177;0,019570804;0,016551909;0,019570804;0,015657364;0,003019869;0,000447393;1;1;0;0;0
1;0,526364414;1;0,539500846;1;0,629369203;0;0,544327758;2;0,780555556;0,808333333;0,758333333;0,803030303;1;-0,027777778;-0,022222222;2,111640986;0,991565894;-0,033429917;-0,093704102;0,237498822;0,703783905;0,334562799;-0,018229116;-0,015657362;-0,032200927;-0,037451374;-0,040020004;-0,039238301;-0,036557819;-0,041359947;-0,038903269;-0,009115313;0,012023018;0,023707202;0,027283993;0,023707204;0,013644532;0,013420877;1;1;0;0;0
1;0,52567185;1;0,54019088;1;0,633405698;0;0,553269295;2;0,758333333;0,780555556;0,772222222;0,803030303;1;-0,022222222;0,013888889;2,231769003;0,975923151;-0,039880409;-0,095976349;0,26824977;0,655280832;0,207977154;-0,020465229;-0,022030385;-0,029183896;-0,032089195;-0,028848634;-0,026166327;-0,026389866;-0,038009812;-0,014231628;0,018061399;0,040243333;0,0414716;0,043369583;0,027954575;0,000894778;-0,003914641;1;1;0;0;0
1;0,524979187;1;0,54019088;1;0,620425305;0;0,535357553;1;0,772222222;0,758333333;0,777777778;0,803030303;1;0,013888889;0,005555556;2,398763386;0,972088196;-0,059321254;-0,089545043;0,301288264;0,63911482;0,182589436;-0,024042557;-0,012749913;-0,018117301;-0,011296107;-0,009842251;-0,004026484;-0,016328273;-0,054527405;-0,040354985;-0,008360395;0,011100405;0,02465736;0,026054554;0,017110986;0,021136014;0,025383913;1;1;0;0;0
1;0,523593576;1;0,542260047;1;0,623191157;0;0,54019088;2;0,777777778;0,772222222;0,8;0,803030303;1;0,005555556;0,022222222;2,386698615;0,998268803;-0,10834469;0,056562338;0,496851158;0,728559055;0,311221128;-0,02672518;-0,016551916;-0,016104644;-0,015433724;-0,013868204;-0,016663736;-0,018117312;-0,062998423;-0,044262651;-0,007829165;0,008695921;0,011296106;0,027283996;0,020912416;0,01207893;0,013085396;1;1;0;0;0
1;0,52567185;1;0,54019088;1;0,639645269;0;0,558070106;2;0,8;0,777777778;0,819444444;0,803030303;1;0,022222222;0,019444444;2,453389131;0,995175034;-0,051739119;-0,091902237;0,314550745;0,723454886;0,324267861;-0,01420367;-0,009059392;-0,02862512;-0,035887612;-0,034547105;-0,033876808;-0,037451368;-0,047053003;-0,035217373;0,00858408;0,03510566;0,034993951;0,032089191;0,027619289;0,01140794;-0,005256784;1;1;0;0;0
1;0,526364414;1;0,54019088;1;0,635828911;0;0,553955755;2;0,819444444;0,8;0,813888889;0,803030303;1;0,019444444;-0,005555556;2,359241354;0,992782074;-0,102288981;-0,127589821;0,251301643;0,700038945;0,357013204;-0,009394913;-0,011631613;-0,016999178;-0,013532721;-0,011296115;-0,011743447;-0,013309065;-0,018229119;-0,005620277;0,01188323;0,037563056;0,037898119;0,037451366;0,02437791;0,010625107;0,003467257;1;1;0;0;0
1;0,526364414;1;0,539500846;1;0,643139477;0;0,553955755;2;0,772222222;0,769444444;0,794444444;0,80479798;1;0,002777778;0,022222222;2,375995047;0,976475861;-0,040955555;-0,107784303;0,236768112;0,658891427;0,225076775;-0,033555816;-0,007499179;-0,017258633;-0,025349433;-0,022375208;-0,019162593;-0,023564943;-0,06513989;-0,002231935;0,013480119;0,02891792;0,021899306;0,018091647;0,019400593;-0,007975313;-0,008332397;1;1;0;0;0
